CupomID;ProdutoID;Quantidade;Valor;Desconto;Custo;ValorLiquido
11083;69;1;2,12;0;1,8317;0,2883
11083;73;3;2,97;0;2,4057;0,5643
11083;37;1;4,37;0;3,7757;0,5943
11083;73;5;6,11;0,0605;5,838;0,2725
11083;69;3;6,57;0;5,3217;1,2483
11083;59;1;8,03;0;6,5043;1,5257
11083;31;1;8,19;0;6,6339;1,5561
11083;73;9;9,36;0;7,5816;1,7784
11083;19;1;9,9;0;8,5536;1,3464
11083;60;2;10,99;1,434;8,4319;2,5621
11082;72;1;11,58;0;9,3798;2,2002
11081;73;10;11,9;0;10,4958;1,4042
11080;10;2;12,96;0;10,4976;2,4624
11079;24;3;13,11;0;10,6191;2,4909
11079;22;4;13,68;0;11,0808;2,5992
11078;69;7;13,86;0;11,975;1,885
11078;69;8;14,96;0;12,3869;2,5731
11077;10;2;14,98;0;12,4034;2,5766
11077;75;2;15,08;0;12,2148;2,8652
11077;73;15;15,6;0;12,636;2,964
11077;59;2;15,8;0;12,798;3,002
11077;69;9;17,46;0;15,421;2,039
11077;35;3;18,72;0;15,5002;3,2198
11077;65;2;18,94;0;15,3414;3,5986
11077;35;3;19,26;0;16,9873;2,2727
11077;31;2;19,7;3,94;12,7656;6,9344
11077;60;4;19,84;0;17,4989;2,3411
11077;40;1;20,11;0;17,4058;2,7042
11077;19;2;20,18;0;17,7988;2,3812
11077;73;15;20,36;2,655;14,337;6,018
11077;69;10;20,4;0;17,9928;2,4072
11077;69;10;20,57;1,87;15,4836;5,0864
11077;69;10;20,6;0;17,0568;3,5432
11077;60;4;20,84;0;18,3809;2,4591
11077;22;6;21,36;1,017;16,8415;4,5155
11077;5;4;21,64;0;17,5284;4,1116
11077;24;5;21,65;0;17,9262;3,7238
11077;22;6;21,96;0;17,7876;4,1724
11077;24;5;22,05;0;17,8605;4,1895
11077;69;10;22,2;2,895;15,633;6,562
11077;6;6;22,26;0;19,2326;3,0274
11077;73;20;23,76;2,16;17,8848;5,8752
11076;6;6;23,82;0;21,0092;2,8108
11076;35;4;24,32;0;19,6992;4,6208
11076;68;2;25,02;0;22,0676;2,9524
11075;24;6;25,08;0;21,6691;3,4109
